,player_name,TEAM,AFFILIATION,YEAR,ROUND,ROUND.1,OVERALL,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
0,Cade Cunningham,Detroit Pistons,Oklahoma State,2021.0,1,1,1,Oklahoma St.,B12,27,78.0,104.1,28.6,51.6,57.46,2.3,16.2,20.2,22.0,132,156,0.846,114,246,0.46299999999999997,62,155,0.4,2.3,2.5,38.9,Fr,8-Jun,2,4.33352,121.34299999999999,2.8,2021,72372,all,100.0,0.84543827,67.0,108.0,46.0,137.0,0.6204,0.3358,7.0,9.0,0.7778,1.0,96.0766,89.9995,4.47388,207.722,6.28955,3.1998,3.08975,7.416360000000001,35.4074,4.87999,2.5363700000000002,0.7037,5.4815,6.1852,3.4444,1.5926,0.7778,20.2222,Wing F,8.8726
1,Evan Mobley,Cleveland Cavaliers,Southern California,2021.0,1,3,3,USC,P12,33,83.6,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,134,193,0.6940000000000001,185,301,0.615,12,40,0.3,8.7,1.4,56.6,Fr,Jul-00,4,5.41065,131.894,2.1,2021,72870,all,99.6,1.06756154,113.0,144.0,72.0,157.0,0.7847,0.4586,63.0,66.0,0.9545,3.0,90.38,84.147,5.00113,256.35900000000004,13.0012,5.53482,7.46638,12.6405,33.9394,7.388,5.25248,2.7273,5.9394,8.6667,2.3939,0.7879,2.8485,16.3636,C,2.10197
2,Scottie Barnes,Toronto Raptors,Florida State,2021.0,1,4,4,Florida St.,ACC,24,58.9,107.5,25.3,53.1,54.78,7.4,11.0,31.6,22.4,41,66,0.621,87,155,0.561,11,40,0.275,2.1,3.4,33.8,Fr,9-Jun,4,2.97007,120.14,3.5,2021,72657,all,99.0,1.66102588,61.0,89.0,26.0,66.0,0.6854,0.3939,19.0,21.0,0.9048,4.0,97.4474,91.9916,3.0024,119.77,8.27087,4.94571,3.32516,7.19008,24.7917,4.19499,2.9951,1.4583,2.5417,4.0,4.0833,1.4583,0.4583,10.3333,Scoring PG,3.85045
3,Jalen Suggs,Orlando Magic,Gonzaga,2021.0,1,5,5,Gonzaga,WCC,30,67.5,110.4,25.3,55.9,59.39,2.7,18.0,23.7,21.5,86,114,0.754,119,203,0.586,35,104,0.337,1.1,3.5,37.1,Fr,4-Jun,1,3.7988699999999995,123.251,3.6,2021,72863,all,98.2,1.54546071,97.0,152.0,21.0,49.0,0.6382,0.4286,9.0,10.0,0.9,5.0,90.185,85.8594,4.13889,209.261,9.326319999999999,4.8531699999999995,4.47315,8.4834,28.9333,4.37217,4.11123,0.6,4.7333,5.3333,4.5333,1.9,0.3333,14.3,Combo G,6.42283
4,Franz Wagner,Orlando Magic,Michigan,2021.0,1,8,8,Michigan,B10,27,66.1,105.5,18.6,53.4,56.59,3.4,16.8,5.9,15.0,45,54,0.833,72,118,0.61,41,132,0.311,1.8,2.4,21.6,Fr,9-Jun,21.0,2.5611200000000003,109.684,3.3,2020,70394,all,90.2,0.67499155,65.0,97.0,7.0,21.0,0.6701,0.3333,8.0,8.0,1.0,8.0,95.3591,88.1723,4.1209,171.13299999999998,5.85695,2.63123,3.22572,5.45181,30.7407,2.39701,3.0548,0.8889,4.7037,5.5926,1.0,1.2593,0.5926,11.5556,Wing F,9.22711
5,Franz Wagner,Orlando Magic,Michigan,2021.0,1,8,8,Michigan,B10,28,78.8,119.5,19.4,54.4,58.65,2.9,19.6,17.4,12.5,66,79,0.835,89,158,0.563,35,102,0.34299999999999997,3.2,2.3,30.4,So,9-Jun,21,4.39131,125.382,2.8,2021,70394,all,90.2,2.33335933,63.0,93.0,26.0,65.0,0.6774,0.4,11.0,11.0,1.0,8.0,91.2358,84.4309,4.68658,201.179,11.3188,5.41689,5.9019,10.6092,31.6786,5.27693,5.33229,0.7143,5.8214,6.5357,3.0,1.25,1.0357,12.4643,Wing F,6.88085
6,Davion Mitchell,Sacramento Kings,Baylor,2021.0,1,9,9,Auburn,SEC,34,42.8,99.6,13.5,50.0,52.62,1.7,5.7,18.4,26.3,21,31,0.677,30,53,0.5660000000000001,15,52,0.28800000000000003,0.2,1.7,29.5,Fr,1-Jun,10,0.38345500000000005,93.9035,5.0,2018,51367,all,88.4,1.65792778,28.0,43.0,2.0,12.0,0.6512,0.1667,0.0,0.0,,9.0,105.402,101.229,1.6761599999999999,91.0163,-0.600935,-0.273776,-0.32715900000000003,-1.48737,17.1176,-2.61172,1.12435,0.2647,0.8824,1.1471,1.8529,0.5294,0.0294,3.7059,Scoring PG,4.86305
7,Davion Mitchell,Sacramento Kings,Baylor,2021.0,1,9,9,Baylor,B12,30,80.7,100.5,19.1,47.5,50.34,1.1,8.6,22.3,21.7,53,80,0.662,71,152,0.467,34,105,0.324,1.3,2.7,31.1,So,2-Jun,45.0,2.2093599999999998,105.074,3.4,2020,51367,all,88.4,1.70151793,58.0,96.0,13.0,56.0,0.6042,0.2321,4.0,4.0,1.0,9.0,92.7138,89.2827,4.26107,170.201,4.65645,2.04308,2.61337,3.5519199999999995,32.4,0.225084,3.32683,0.3333,2.3667,2.7,3.8,1.4667,0.3667,9.9,Scoring PG,6.480230000000001
8,Davion Mitchell,Sacramento Kings,Baylor,2021.0,1,9,9,Baylor,B12,30,80.8,122.1,21.6,61.3,62.0,1.7,8.1,28.3,20.1,43,66,0.652,95,168,0.565,63,141,0.447,1.3,3.4,21.4,Jr,2-Jun,45.0,5.11247,130.825,2.9,2021,51367,all,88.4,2.26030492,70.0,111.0,25.0,57.0,0.6306,0.4386,2.0,2.0,1.0,9.0,95.1321,90.9567,4.0724599999999995,184.33900000000003,9.220880000000001,7.125369999999999,2.09551,9.52416,32.4667,6.38053,3.14363,0.4667,2.2,2.6667,5.5,1.9,0.3667,14.0667,Pure PG,8.38227
9,Ziaire Williams,New Orleans Pelicans,Stanford,2021.0,1,10,10,Stanford,P12,20,50.7,85.0,25.8,43.1,47.29,2.4,16.4,16.4,23.2,39,49,0.7959999999999999,53,124,0.42700000000000005,23,79,0.29100000000000004,2.2,1.7,24.1,Fr,8-Jun,3,0.9870530000000001,95.6424,3.4,2021,72856,all,99.2,0.75862068,26.0,49.0,27.0,75.0,0.5306,0.36,10.0,11.0,0.9091,10.0,97.9783,92.0665,3.3440800000000004,110.37100000000001,0.164097,-1.8908900000000002,2.05499,-0.296141,27.9,-1.48173,1.18559,0.5,4.05,4.55,2.2,0.85,0.55,10.7,Wing F,8.16993
