,AFFILIATION,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,porpag,adjoe,Rec Rank,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,mp,oreb,dreb,treb,ast,stl,blk,pts,Position,Class
0,Oklahoma State,B12,27,78.0,104.1,28.6,51.6,57.46,2.3,16.2,20.2,22.0,132,156,0.846,114,246,0.463,62,155,0.4,2.3,2.5,38.9,Fr,4.33352,121.343,100.0,0.84543827,0.6204,0.3358,0.7778,96.0766,89.9995,4.47388,207.722,6.28955,3.1998,3.08975,35.4074,0.7037,5.4815,6.1852,3.4444,1.5926,0.7778,20.2222,Wing F,1
1,Southern California,P12,33,83.6,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,134,193,0.6940000000000001,185,301,0.615,12,40,0.3,8.7,1.4,56.6,Fr,5.41065,131.894,99.6,1.06756154,0.7847,0.4586,0.9545,90.38,84.147,5.00113,256.35900000000004,13.0012,5.53482,7.46638,33.9394,2.7273,5.9394,8.6667,2.3939,0.7879,2.8485,16.3636,C,1
2,Florida State,ACC,24,58.9,107.5,25.3,53.1,54.78,7.4,11.0,31.6,22.4,41,66,0.621,87,155,0.561,11,40,0.275,2.1,3.4,33.8,Fr,2.97007,120.14,99.0,1.66102588,0.6854,0.3939,0.9048,97.4474,91.9916,3.0024,119.77,8.27087,4.94571,3.32516,24.7917,1.4583,2.5417,4.0,4.0833,1.4583,0.4583,10.3333,Scoring PG,1
3,Gonzaga,WCC,30,67.5,110.4,25.3,55.9,59.39,2.7,18.0,23.7,21.5,86,114,0.754,119,203,0.586,35,104,0.337,1.1,3.5,37.1,Fr,3.79887,123.251,98.2,1.54546071,0.6382,0.4286,0.9,90.185,85.8594,4.13889,209.261,9.32632,4.85317,4.47315,28.9333,0.6,4.7333,5.3333,4.5333,1.9,0.3333,14.3,Combo G,1
4,Michigan,B10,27,66.1,105.5,18.6,53.4,56.59,3.4,16.8,5.9,15.0,45,54,0.833,72,118,0.61,41,132,0.311,1.8,2.4,21.6,Fr,2.5611200000000003,109.684,90.2,0.67499155,0.6701,0.3333,1.0,95.3591,88.1723,4.1209,171.13299999999995,5.85695,2.63123,3.22572,30.7407,0.8889,4.7037,5.5926,1.0,1.2593,0.5926,11.5556,Wing F,1
5,Michigan,B10,28,78.8,119.5,19.4,54.4,58.65,2.9,19.6,17.4,12.5,66,79,0.835,89,158,0.563,35,102,0.343,3.2,2.3,30.4,So,4.39131,125.382,90.2,2.33335933,0.6774,0.4,1.0,91.2358,84.4309,4.68658,201.179,11.3188,5.41689,5.9019,31.6786,0.7143,5.8214,6.5357,3.0,1.25,1.0357,12.4643,Wing F,1
6,Baylor,SEC,34,42.8,99.6,13.5,50.0,52.62,1.7,5.7,18.4,26.3,21,31,0.677,30,53,0.5660000000000001,15,52,0.28800000000000003,0.2,1.7,29.5,Fr,0.3834550000000001,93.9035,88.4,1.65792778,0.6512,0.1667,,105.402,101.229,1.67616,91.0163,-0.600935,-0.273776,-0.32715900000000003,17.1176,0.2647,0.8824,1.1471,1.8529,0.5294,0.0294,3.7059,Scoring PG,1
7,Baylor,B12,30,80.7,100.5,19.1,47.5,50.34,1.1,8.6,22.3,21.7,53,80,0.662,71,152,0.467,34,105,0.324,1.3,2.7,31.1,So,2.20936,105.074,88.4,1.70151793,0.6042,0.2321,1.0,92.7138,89.2827,4.26107,170.201,4.65645,2.04308,2.61337,32.4,0.3333,2.3667,2.7,3.8,1.4667,0.3667,9.9,Scoring PG,1
8,Baylor,B12,30,80.8,122.1,21.6,61.3,62.0,1.7,8.1,28.3,20.1,43,66,0.652,95,168,0.565,63,141,0.447,1.3,3.4,21.4,Jr,5.11247,130.825,88.4,2.26030492,0.6306,0.4386,1.0,95.1321,90.9567,4.07246,184.33900000000003,9.22088,7.125369999999998,2.09551,32.4667,0.4667,2.2,2.6667,5.5,1.9,0.3667,14.0667,Pure PG,1
9,Stanford,P12,20,50.7,85.0,25.8,43.1,47.29,2.4,16.4,16.4,23.2,39,49,0.7959999999999999,53,124,0.4270000000000001,23,79,0.29100000000000004,2.2,1.7,24.1,Fr,0.987053,95.6424,99.2,0.75862068,0.5306,0.36,0.9091,97.9783,92.0665,3.3440800000000004,110.371,0.164097,-1.89089,2.05499,27.9,0.5,4.05,4.55,2.2,0.85,0.55,10.7,Wing F,1
10,Connecticut,Amer,28,56.6,109.3,24.5,50.7,56.0,6.7,11.3,11.5,16.3,83,101,0.8220000000000001,103,205,0.502,25,72,0.34700000000000003,0.9,1.7,36.5,Fr,3.14056,121.593,86.8,0.71999775,0.5873,0.3766,0.95,97.3983,96.5214,2.66991,122.893,2.83687,3.28398,-0.447114,25.8571,1.5714,2.5357,4.1071,1.2857,0.75,0.2143,13.0,Wing G,1
